img_path
Orange___Haunglongbing_(Citrus_greening)/e9d9b647-d4c0-4fb6-88be-4bb3ae4206cd___CREC_HLB 4672.JPG
Squash___Powdery_mildew/5154e42a-5c5c-4c1c-9b4e-0106f66a4629___MD_Powd.M 0729.JPG
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/cfc76567-1176-47de-83a7-19cf427cf9d2___FAM_L.Blight 4519.JPG
Peach___Bacterial_spot/44374a48-d73b-488f-bd16-6fea7e27f8cb___Rut._Bact.S 0764.JPG
Peach___Bacterial_spot/9d4dc3ae-8e32-495f-86c9-415cd402bd15___Rutg._Bact.S 1577.JPG
Grape___Black_rot/a2718fdc-806f-4a37-a4f6-8bb90bcb3dea___FAM_B.Rot 0683.JPG
Squash___Powdery_mildew/9bdf5c04-b4c7-4b76-b57a-1570662229d5___UMD_Powd.M 0503.JPG
Orange___Haunglongbing_(Citrus_greening)/029cc53d-1fe9-46c0-a4a2-c4064717b983___UF.Citrus_HLB_Lab 0372.JPG
Tomato___Target_Spot/c4abfbdb-e929-465f-a34a-b42e6f308840___Com.G_TgS_FL 7919.JPG
Tomato___Tomato_Yellow_Leaf_Curl_Virus/cabbaac5-db4e-4645-b8d0-6ee45518840e___UF.GRC_YLCV_Lab 03139.JPG
Tomato___Bacterial_spot/dbec23bb-922a-49cd-b222-825ee95edcee___GCREC_Bact.Sp 3834.JPG
Tomato___Early_blight/f9095543-43a8-4dac-8d06-041203fa5af5___RS_Erly.B 6435.JPG
Cherry_(including_sour)___Powdery_mildew/dffc80c0-ea6e-4122-8be4-c140a0dee06e___FREC_Pwd.M 4581.JPG
Soybean___healthy/471e7554-a87e-4b25-aad1-bf8adb50187a___RS_HL 4443.JPG
Tomato___Tomato_Yellow_Leaf_Curl_Virus/38fcaec1-435f-46fb-a9b0-0bca759c6056___YLCV_NREC 2363.JPG
Tomato___Late_blight/ff82087d-e992-41fb-a2ec-f726d92e6c58___GHLB_PS Leaf 27 day 13.jpg
Tomato___Late_blight/29f85d31-a9c2-404a-b7bc-9a5b9cd7aa88___RS_Late.B 5541.JPG
Tomato___Late_blight/d9432e3e-282e-450c-9375-a3b062353075___RS_Late.B 6430.JPG
Orange___Haunglongbing_(Citrus_greening)/14497970-89de-40cc-ac45-c140ba6cda85___CREC_HLB 3884.JPG
Tomato___Bacterial_spot/3753bf15-16bd-4bbf-a9f8-55382f0f6ee5___GCREC_Bact.Sp 5685.JPG
Orange___Haunglongbing_(Citrus_greening)/94cc7945-5614-496e-82fb-91fce9934ae3___CREC_HLB 4017.JPG
Corn_(maize)___healthy/5048e022-c5a7-4215-a55c-c9576e45f4e2___R.S_HL 0602 copy.jpg
Tomato___Tomato_Yellow_Leaf_Curl_Virus/b4d2a450-c242-4be1-ab69-1a1063618010___YLCV_GCREC 5282.JPG
Tomato___Bacterial_spot/a0b883b2-3c90-41f0-a3fa-b47eac1f5812___UF.GRC_BS_Lab Leaf 9013.JPG
Peach___Bacterial_spot/5580c43f-9c67-49ac-992f-14df842a4abe___Rutg._Bact.S 1639.JPG
Cherry_(including_sour)___Powdery_mildew/012b55cf-de7a-483a-9118-0fd8ff012185___FREC_Pwd.M 0423.JPG
"Pepper,_bell___healthy/c6111f5b-213f-4a67-bdda-7bb5af53c637___JR_HL 7637.JPG"
Cherry_(including_sour)___Powdery_mildew/041d97fc-da3d-4420-8f6f-2be0e7070f28___FREC_Pwd.M 0392.JPG
Blueberry___healthy/75a9ecf6-baa8-41d6-8250-70d85aae2a24___RS_HL 2527.JPG
Tomato___Tomato_mosaic_virus/f5d2043f-a274-431f-accc-1a3e1a7df172___PSU_CG 2400.JPG
Tomato___Septoria_leaf_spot/a118d49a-e8aa-43cd-ac08-0c821ffd1ecb___JR_Sept.L.S 2644.JPG
